127.0.0.1 - - [13/Nov/2016:00:18:17 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:18:31 +0700] "GET /demoview/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:18:31 +0700] "GET /demoview/ HTTP/1.1" 200 9584
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:18:31 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:03 +0700] "GET /demoview/sanphamtheoloai?type=typeCode&maloai=ca HTTP/1.1" 200 4197
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:03 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:05 +0700] "GET /demoview/sanphamtheoloai?type=typeCode&maloai=ghe HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:05 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:06 +0700] "GET /demoview/sanphamtheoloai?type=typeCode&maloai=oc_so HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:06 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:11 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=oc_so2 HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:11 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:14 +0700] "POST /demoview/Cart?productId=oc_so2&productName=S%C3%B2%20l%C3%B4ng&price=50000&image=solong.jpg%20%20%20%20%20%20%20%20%20%20&sale=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:14 +0700] "GET /demoview/ HTTP/1.1" 200 9584
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:17 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=tom2 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:17 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:18 +0700] "POST /demoview/Cart?productId=tom2&productName=T%C3%B4m%20h%C3%B9m&price=500000&image=tomhum.jpg%20%20%20%20%20%20%20%20%20%20&sale=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:19 +0700] "GET /demoview/ HTTP/1.1" 200 9584
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:22 +0700] "POST /demoview/Cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:23 +0700] "GET /demoview/View/Cartview.jsp HTTP/1.1" 200 4827
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:23 +0700] "GET /demoview/View/js/jquery-1.10.2.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:23 +0700] "GET /demoview/View/View/Style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:23 +0700] "GET /demoview/hinhanh/remove.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:37 +0700] "GET /demoview/Cart?command=xoa&productId=oc_so2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:37 +0700] "GET /demoview/View/Cartview.jsp HTTP/1.1" 200 4387
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:37 +0700] "GET /demoview/View/js/jquery-1.10.2.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:37 +0700] "GET /demoview/View/View/Style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:39 +0700] "GET /demoview/Cart?command=xoa&productId=tom2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2016:00:19:39 +0700] "GET /demoview/View/Cartview.jsp HTTP/1.1" 200 3489
