127.0.0.1 - - [23/Dec/2016:22:16:22 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/View/Style.css HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/ HTTP/1.1" 200 13703
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/carticon.png HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 200 9441
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 200 18679
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 200 25372
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/find.png HTTP/1.1" 200 22317
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/tomcangxanh.jpg HTTP/1.1" 200 12877
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/tomhum.jpg HTTP/1.1" 200 10725
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/tomthe.jpg HTTP/1.1" 200 8492
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/soduong.jpg HTTP/1.1" 200 18784
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/bg_title.png HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/tomsu.jpg HTTP/1.1" 200 14262
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/cangu.jpg HTTP/1.1" 200 16608
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/cacang.jpg HTTP/1.1" 200 12836
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/cadof.jpg HTTP/1.1" 200 10613
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/canuc.jpg HTTP/1.1" 200 14256
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/mucong.jpg HTTP/1.1" 200 12982
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/mucla.jpg HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/solong.jpg HTTP/1.1" 200 13960
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/bachtuoc.jpg HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 200 17049
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/mucnan.jpg HTTP/1.1" 200 11405
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/ghenhang.jpg HTTP/1.1" 200 16446
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:25 +0700] "GET /demoview/hinhanh/ghe3phen.jpg HTTP/1.1" 200 19368
0:0:0:0:0:0:0:1 - - [23/Dec/2016:22:16:26 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
